D_eff,delta_psi,recent_hits,S_final,fertile,intelligence_score,compression_ratio,fidelity_proxy
6,0.2,0,0.14806450291069925,False,0.0,24.0,0.0
6,0.2,1,0.14809147918973453,False,0.0,24.0,0.0
6,0.2,2,0.148118429281082,False,0.0,24.0,0.0
6,0.2,3,0.1481453532107139,False,0.0,24.0,0.0
6,0.3,0,0.1300572780008903,False,0.0,24.0,0.0
6,0.3,1,0.1301013415790377,False,0.0,24.0,0.0
6,0.3,2,0.1301453623817071,False,0.0,24.0,0.0
6,0.3,3,0.13018934045132224,False,0.0,24.0,0.0
6,0.4,0,0.12662333803410242,False,0.0,24.0,0.0
6,0.4,1,0.12667066012429923,False,0.0,24.0,0.0
6,0.4,2,0.12671793627576136,False,0.0,24.0,0.0
6,0.4,3,0.12676516653404973,False,0.0,24.0,0.0
6,0.5,0,0.14017496701455903,False,0.0,24.0,0.0
6,0.5,1,0.1402094297808453,False,0.0,24.0,0.0
6,0.5,2,0.1402438590918072,False,0.0,24.0,0.0
6,0.5,3,0.14027825498062493,False,0.0,24.0,0.0
6,0.6,0,0.1712954776666181,False,0.0,24.0,0.0
6,0.6,1,0.1713004097597053,False,0.0,24.0,0.0
6,0.6,2,0.17130533706487816,False,0.0,24.0,0.0
6,0.6,3,0.17131025958688517,False,0.0,24.0,0.0
6,0.7,0,0.2183218496759674,True,0.6314789978397826,24.0,0.9262957995679566
6,0.7,1,0.21828215780902166,True,0.6312143853934776,24.0,0.9262428770786956
6,0.7,2,0.2182425044736398,True,0.6309500298242652,24.0,0.9261900059648531
6,0.7,3,0.2182028896316072,True,0.6306859308773812,24.0,0.9261371861754764
6,0.8,0,0.2771100395667695,True,0.9765997362215367,24.0,0.9953199472443074
6,0.8,1,0.27701456279182407,True,0.9772362480545063,24.0,0.9954472496109013
6,0.8,2,0.27691917870260346,True,0.9778721419826436,24.0,0.9955744283965288
6,0.8,3,0.27682388720718426,True,0.9785074186187717,24.0,0.9957014837237543
6,0.9,0,0.3410415312469817,True,0.5503897916867886,24.0,0.9100779583373577
6,0.9,1,0.340885389015449,True,0.5514307398970066,24.0,0.9102861479794013
6,0.9,2,0.3407293983616788,True,0.552470677588808,24.0,0.9104941355177616
6,0.9,3,0.3405735591353398,True,0.5535096057644012,24.0,0.9107019211528803
6,1.0,0,0.4013126460431422,False,0.0,24.0,0.0
6,1.0,1,0.4010993117361231,False,0.0,24.0,0.0
6,1.0,2,0.40088618452705954,False,0.0,24.0,0.0
6,1.0,3,0.40067326421055666,False,0.0,24.0,0.0
6,1.1,0,0.4475234930389074,False,0.0,24.0,0.0
6,1.1,1,0.44726630863456374,False,0.0,24.0,0.0
6,1.1,2,0.4470093738964134,False,0.0,24.0,0.0
6,1.1,3,0.4467526885768433,False,0.0,24.0,0.0
6,1.2,0,0.4685526918874946,False,0.0,24.0,0.0
6,1.2,1,0.46827555259212167,False,0.0,24.0,0.0
6,1.2,2,0.4679986823344965,False,0.0,24.0,0.0
6,1.2,3,0.46772208084779376,False,0.0,24.0,0.0
7,0.2,0,0.1480411711739006,False,0.0,28.0,0.0
7,0.2,1,0.14806816959273625,False,0.0,28.0,0.0
7,0.2,2,0.1480951418023915,False,0.0,28.0,0.0
7,0.2,3,0.14812208782886,False,0.0,28.0,0.0
7,0.3,0,0.13001916748882156,False,0.0,28.0,0.0
